"front","back","tags"
"Was kennzeichnet eine sichere Bindung?","Das Kind sucht bei Belastung Nähe und Trost und kann nach Beruhigung wieder neugierig seine Umwelt erkunden.","Entwicklung"
"Was bedeutet sichere Basis?","Eine verlässliche Bezugsperson gibt dem Kind Sicherheit, von der aus es seine Umwelt erkunden kann.","Entwicklung"
"Was bedeutet Exploration?","Das neugierige Erkunden der Umwelt, durch das Kinder Erfahrungen sammeln und lernen.","Entwicklung"
"Was bedeutet Resilienz?","Die Fähigkeit, Belastungen mithilfe persönlicher und sozialer Ressourcen zu bewältigen und sich weiterzuentwickeln.","Entwicklung"
"Was ist ein Schutzfaktor?","Eine persönliche, familiäre oder soziale Ressource, die Entwicklungsrisiken abschwächen kann.","Entwicklung"
"Was ist ein Risikofaktor?","Eine Bedingung, die die Wahrscheinlichkeit ungünstiger Entwicklungsverläufe erhöht, ohne sie zwangsläufig zu verursachen.","Entwicklung"
"Was bedeutet Selbstwirksamkeit?","Die Überzeugung, durch eigenes Handeln Herausforderungen bewältigen und etwas bewirken zu können.","Entwicklung"
"Was bedeutet Autonomie?","Die zunehmende Fähigkeit und Möglichkeit, selbstbestimmt zu entscheiden und verantwortlich zu handeln.","Entwicklung"
"Was bedeutet Emotionsregulation?","Gefühle wahrnehmen, ausdrücken und so beeinflussen zu können, dass situationsangemessenes Handeln möglich bleibt.","Entwicklung"
"Was sind exekutive Funktionen?","Kognitive Steuerungsfähigkeiten wie Arbeitsgedächtnis, Impulskontrolle und flexibles Wechseln zwischen Anforderungen.","Entwicklung"
"Was bedeutet Theory of Mind?","Die Fähigkeit zu verstehen, dass andere Menschen eigene Gedanken, Gefühle, Absichten und Wissensstände haben.","Entwicklung"
"Was bedeutet Objektpermanenz?","Das Verständnis, dass ein Gegenstand weiter existiert, auch wenn er gerade nicht wahrgenommen wird.","Entwicklung"
"Was bedeutet Assimilation nach Piaget?","Neue Erfahrungen werden in bereits vorhandene Denk- und Handlungsschemata eingeordnet.","Lerntheorie"
"Was bedeutet Akkommodation nach Piaget?","Vorhandene Denk- und Handlungsschemata werden verändert, wenn neue Erfahrungen nicht hineinpassen.","Lerntheorie"
"Was bedeutet Äquilibration nach Piaget?","Das Streben nach einem Gleichgewicht zwischen Assimilation und Akkommodation.","Lerntheorie"
"Was ist die Zone der nächsten Entwicklung nach Wygotski?","Der Bereich zwischen dem, was ein Kind allein kann, und dem, was es mit passender Unterstützung bewältigt.","Lerntheorie"
"Was bedeutet Scaffolding?","Eine vorübergehende, an den Lernstand angepasste Unterstützung, die mit wachsender Selbstständigkeit zurückgenommen wird.","Lerntheorie"
"Was bedeutet intrinsische Motivation?","Eine Tätigkeit wird aus Interesse, Freude oder persönlicher Bedeutung heraus ausgeführt.","Lerntheorie"
"Was bedeutet extrinsische Motivation?","Eine Tätigkeit wird vor allem wegen äußerer Folgen wie Anerkennung, Belohnung oder Vermeidung von Nachteilen ausgeführt.","Lerntheorie"
"Was ist eine Lerndisposition?","Eine grundlegende Bereitschaft zum Lernen, etwa interessiert, engagiert, ausdauernd oder kooperativ zu handeln.","Lerntheorie"
"Was bedeutet Freispiel?","Eine Phase, in der Kinder Spielinhalt, Material, Partner, Ort und Dauer möglichst selbst bestimmen.","Praxis"
"Was bedeutet Partizipation?","Kinder werden ihrem Entwicklungsstand entsprechend an Entscheidungen beteiligt, die sie und ihr Zusammenleben betreffen.","Praxis"
"Was ist eine Kinderkonferenz?","Ein regelmäßig gestaltetes Beteiligungsformat, in dem Kinder Themen, Regeln, Wünsche und Konflikte gemeinsam besprechen.","Praxis"
"Was bedeutet Projektarbeit?","Eine längerfristige, ergebnisoffene Bearbeitung eines Themas, die von Fragen und Interessen der Kinder ausgeht.","Praxis"
"Was ist der Situationsansatz?","Ein pädagogischer Ansatz, der bedeutsame Lebenssituationen der Kinder aufgreift und Selbstständigkeit, Solidarität und Kompetenz fördert.","Praxis"
"Was bedeutet Offene Arbeit?","Ein Konzept, das starre Gruppenstrukturen öffnet und Kindern mehr Wahlmöglichkeiten bei Räumen, Aktivitäten und Beziehungen bietet.","Praxis"
"Was ist ein Funktionsraum?","Ein Raum, der für bestimmte Tätigkeiten und Bildungsbereiche gestaltet ist, etwa Atelier, Werkstatt oder Bewegungsraum.","Praxis"
"Was bedeutet Raum als dritter Erzieher?","Die Gestaltung von Räumen und Materialien wird als aktive Einflussgröße auf Lernen, Wohlbefinden und Selbstständigkeit verstanden.","Praxis"
"Was bedeutet Lebensweltorientierung?","Pädagogisches Handeln knüpft an Alltag, Erfahrungen, Beziehungen und soziale Bedingungen der Kinder und Familien an.","Praxis"
"Was bedeutet Ressourcenorientierung?","Der Blick richtet sich vorrangig auf Stärken, Interessen, Fähigkeiten und unterstützende Bedingungen statt auf Defizite.","Praxis"
"Was bedeutet Inklusion?","Strukturen werden so gestaltet, dass alle Kinder von Anfang an gleichberechtigt teilhaben können und Barrieren abgebaut werden.","Praxis"
"Was bedeutet Integration?","Eine Person wird in ein bestehendes System aufgenommen; anders als bei Inklusion wird das System dabei nicht zwingend grundlegend verändert.","Praxis"
"Was bedeutet Diversität?","Die Vielfalt von Menschen und Lebenslagen, etwa hinsichtlich Fähigkeiten, Herkunft, Sprache, Geschlecht, Religion oder Familie.","Praxis"
"Was bedeutet vorurteilsbewusste Bildung und Erziehung?","Unterschiede werden wertgeschätzt, Einseitigkeiten reflektiert und Diskriminierung sowie Ausgrenzung aktiv thematisiert.","Praxis"
"Was ist alltagsintegrierte sprachliche Bildung?","Systematische Sprachbegleitung in bedeutsamen Alltagssituationen, Dialogen, Routinen, Spielen und Projekten für alle Kinder.","Sprache"
"Was bedeutet Literacy in der frühen Bildung?","Frühe Erfahrungen mit Büchern, Erzählen, Schrift, Symbolen, Reimen und anderen Formen der Sprach- und Medienkultur.","Sprache"
"Was bedeutet pädagogische Beobachtung?","Aufmerksames und möglichst wertfreies Wahrnehmen kindlichen Handelns als Grundlage für Verstehen und pädagogische Planung.","Beobachtung"
"Was kennzeichnet systematische Beobachtung?","Beobachtungen erfolgen zielgerichtet, geplant, nachvollziehbar dokumentiert und anhand festgelegter Kriterien ausgewertet.","Beobachtung"
"Was bedeutet pädagogische Dokumentation?","Beobachtungen, Lernwege und pädagogische Prozesse werden nachvollziehbar festgehalten und für Reflexion sowie Austausch genutzt.","Beobachtung"
"Was ist ein Portfolio?","Eine gemeinsam mit dem Kind gestaltete Sammlung, die individuelle Lernwege, Erlebnisse, Interessen und Kompetenzen sichtbar macht.","Beobachtung"
"Was sind Bildungs- und Lerngeschichten?","Narrative Beobachtungs- und Dokumentationsverfahren, die Lerninteressen, Lerndispositionen und nächste Unterstützungsmöglichkeiten beschreiben.","Beobachtung"
"Was bedeutet Transition?","Ein bedeutsamer Übergang mit Veränderungen von Rollen, Beziehungen und Lebensbedingungen, etwa der Eintritt in Kita oder Schule.","Übergänge"
"Was bedeutet Eingewöhnung?","Ein individuell begleiteter Übergangsprozess, in dem das Kind Beziehungen, Sicherheit und Orientierung in der Einrichtung aufbaut.","Übergänge"
"Was bedeutet professionelle Haltung?","Ein reflektiertes Zusammenspiel von Fachwissen, Werten, Selbstverständnis und verantwortlichem Handeln gegenüber Kindern und Familien.","Professionalität"
"Was ist eine pädagogische Beziehung?","Eine verlässliche, wertschätzende und asymmetrische Beziehung, in der die Fachkraft besondere Verantwortung für Schutz und Entwicklung trägt.","Professionalität"
"Was bedeutet professionelle Nähe und Distanz?","Zuwendung und Beziehung werden ermöglicht, während persönliche Grenzen, Kinderrechte und die professionelle Rolle gewahrt bleiben.","Professionalität"
"Was bedeutet Erziehungs- und Bildungspartnerschaft?","Familie und pädagogische Fachkräfte arbeiten respektvoll und dialogisch zum Wohl und zur Bildung des Kindes zusammen.","Professionalität"
"Was ist Supervision?","Professionell geleitete Reflexion beruflicher Fälle, Rollen, Beziehungen und Teamdynamiken.","Professionalität"
"Was bedeutet multiprofessionelle Zusammenarbeit?","Fachkräfte verschiedener Berufe verbinden ihre Perspektiven und Kompetenzen für abgestimmte Unterstützung.","Professionalität"
"Was bedeutet Kindeswohl?","Ein rechtlicher und pädagogischer Orientierungsmaßstab für Schutz, Rechte und förderliche körperliche, geistige sowie seelische Entwicklung.","Kinderschutz"
"Was bedeutet Kindeswohlgefährdung?","Eine gegenwärtige erhebliche Gefahr, bei der ohne Abwendung mit hinreichender Wahrscheinlichkeit eine erhebliche Schädigung des Kindes zu erwarten ist.","Kinderschutz"
"Was sind gewichtige Anhaltspunkte?","Konkrete Hinweise, die eine mögliche Kindeswohlgefährdung ernsthaft in Betracht kommen lassen und eine fachliche Einschätzung auslösen.","Kinderschutz"
"Was regelt § 8a SGB VIII?","Den Schutzauftrag bei Kindeswohlgefährdung einschließlich Gefährdungseinschätzung, Beteiligung und Hinzuziehung einer insoweit erfahrenen Fachkraft.","Kinderschutz"
"Was ist eine insoweit erfahrene Fachkraft, kurz IseF?","Eine besonders qualifizierte beratende Fachkraft, die bei der Einschätzung einer möglichen Kindeswohlgefährdung unterstützt.","Kinderschutz"
"Was bedeutet Gefährdungseinschätzung?","Eine strukturierte fachliche Bewertung, ob und wie stark das Wohl eines Kindes gefährdet ist und welche Schutzmaßnahmen erforderlich sind.","Kinderschutz"
"Was ist ein institutionelles Schutzkonzept?","Ein verbindliches Gesamtkonzept zur Prävention, Beteiligung, Beschwerde, Intervention und Aufarbeitung von Gewalt in einer Einrichtung.","Kinderschutz"
"Was ist ein kindgerechtes Beschwerdeverfahren?","Ein zugänglicher und verständlicher Weg, über den Kinder Kritik, Unwohlsein oder Grenzverletzungen sicher äußern können und verlässlich Antwort erhalten.","Kinderschutz"
"Was bedeutet Aufsichtspflicht?","Die Pflicht, Kinder entsprechend Alter, Entwicklung, Tätigkeit und Situation vor vorhersehbaren Schäden zu schützen, ohne sie ständig kontrollieren zu müssen.","Recht"
"Was bedeutet Verschwiegenheitspflicht im pädagogischen Alltag?","Personenbezogene und vertrauliche Informationen dürfen nur mit Einwilligung oder einer gesetzlichen Grundlage weitergegeben werden; die genaue Reichweite hängt von Tätigkeit und Träger ab.","Recht"
"Was regelt § 47 SGB VIII für erlaubnispflichtige Einrichtungen?","Der Träger muss unter anderem Ereignisse oder Entwicklungen, die das Wohl von Kindern beeinträchtigen können, unverzüglich der zuständigen Behörde melden.","Recht"
"Was umfasst der Förderauftrag nach § 22 SGB VIII?","Erziehung, Bildung und Betreuung sowie die Förderung der sozialen, emotionalen, körperlichen und geistigen Entwicklung des einzelnen Kindes.","Recht"
"Was verlangt § 8 SGB VIII bei der Beteiligung?","Kinder und Jugendliche sind ihrem Entwicklungsstand entsprechend zu beteiligen; Beteiligung und Beratung müssen verständlich, nachvollziehbar und wahrnehmbar sein.","Recht"
"Was bedeutet Betriebserlaubnis nach § 45 SGB VIII?","Erlaubnispflichtige Einrichtungen dürfen nur mit behördlicher Erlaubnis betrieben werden; Voraussetzung ist insbesondere die Gewährleistung des Kindeswohls.","Recht"
